Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"A super busy peer vaccination clinic in Roscommon University Hospital #RUH. Get a #Vaccine give a #Vaccine, for every one #fluvaccine we will donate 10 polio vaccines to Unicef’s end #Polio campaign. #yourbestshot #flufighters https://t.co/HxCR6V5UXD",39,98.53,77.92,1.40,73.64,13.00,33.33,53.85,20.51,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,7.69,7.69,2.56,0.00,0.00,0.00,10.26,5.13,0.00,0.00,5.13,2.56,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,12.82,5.13,2.56,2.56,2.56,0.00,0.00,7.69,2.56,7.69,0.00,2.56,5.13,5.13,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,35.90,7.69,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,23.08
"A super busy peer vaccination clinic in Roscommon University Hospital #RUH. Get a #Vaccine give a #Vaccine, for every one #fluvaccine we will donate 10 polio vaccines to Unicef’s end #Polio campaign. #yourbestshot #flufighters https://t.co/HxCR6V5UXD",39,98.53,77.92,1.40,73.64,13.00,33.33,53.85,20.51,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,7.69,7.69,2.56,0.00,0.00,0.00,10.26,5.13,0.00,0.00,5.13,2.56,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,12.82,5.13,2.56,2.56,2.56,0.00,0.00,7.69,2.56,7.69,0.00,2.56,5.13,5.13,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,35.90,7.69,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,23.08
"After first 2 weeks of the 2018/2019 season, #influenzaB, #influenzaA(H1), and #influenzaA(H3) have all been detected in Ireland. Now is a good time to get your influenza vaccine #influenza #vaccine #flujab #FluVaccine #flufighter #VaccinesWork #VaccinesMakeAdults #surveillance https://t.co/iytUwXOOP1",44,92.84,67.52,19.82,68.66,22.00,34.09,45.45,27.27,2.27,2.27,0.00,0.00,2.27,0.00,0.00,0.00,4.55,9.09,6.82,2.27,2.27,0.00,9.09,2.27,2.27,0.00,9.09,2.27,2.27,2.27,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,0.00,2.27,0.00,4.55,0.00,2.27,9.09,0.00,15.91,0.00,2.27,13.64,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,52.27,4.55,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,31.82
Poor baby #zdoggMD! Blocking everyone that disagrees and refusing to have a public debate on #vaccine safety. He and his #BigPharma shill buddy @DrPaulOffit are not telling you even a fraction of truth! #VaccineInjury #readthebook #endautismnow #readtheinserts #knowtherisks https://t.co/7Uax86yGgj,44,68.79,97.95,1.00,25.77,11.00,34.09,61.36,36.36,11.36,6.82,0.00,0.00,2.27,4.55,0.00,4.55,4.55,6.82,4.55,2.27,4.55,2.27,6.82,2.27,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,22.73,2.27,2.27,0.00,6.82,6.82,0.00,0.00,0.00,0.00,4.55,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,2.27,0.00,4.55,0.00,2.27,0.00,4.55,0.00,2.27,0.00,2.27,0.00,0.00,0.00,0.00,2.27,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,34.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,25.00
"Do you know what it feels like to be corned in a doctor's office and having a refusal to #vaccinate form shoved in your face when a #vaccine has already almost killed your #child? It's terrifying!
#FollowTheMoney
#ParentalRights
#LearnTheRisk
@POTUS @VP
https://t.co/ipWlynTDB0",46,58.77,97.44,16.76,1.00,15.33,21.74,76.09,47.83,13.04,6.52,0.00,0.00,6.52,0.00,0.00,6.52,6.52,10.87,10.87,6.52,4.35,0.00,17.39,2.17,2.17,4.35,0.00,0.00,4.35,0.00,4.35,2.17,2.17,0.00,13.04,2.17,0.00,0.00,0.00,6.52,4.35,0.00,0.00,2.17,0.00,0.00,2.17,0.00,0.00,2.17,4.35,2.17,2.17,0.00,0.00,10.87,2.17,0.00,8.70,0.00,0.00,4.35,13.04,0.00,10.87,2.17,4.35,4.35,6.52,0.00,0.00,0.00,0.00,2.17,2.17,0.00,2.17,0.00,0.00,0.00,32.61,2.17,0.00,0.00,0.00,2.17,2.17,0.00,0.00,4.35,0.00,21.74
"For all those adults that say ""I was #vaccinated and I am fine!"" you will soon need to get ALL these #vaccines according to @CDCgov proposed ADULT #vaccine schedule Oh and this schedule has never been tested! #Unsafe #vaccineinjury #readtheinsert #knowtherisks #aluminum #mercury https://t.co/39g3RphAAb",49,28.22,65.86,3.63,25.77,16.33,26.53,69.39,38.78,14.29,6.12,4.08,0.00,2.04,0.00,0.00,8.16,0.00,6.12,10.20,4.08,4.08,2.04,18.37,4.08,0.00,0.00,0.00,4.08,4.08,2.04,2.04,0.00,0.00,0.00,8.16,0.00,0.00,0.00,0.00,8.16,0.00,0.00,2.04,0.00,6.12,0.00,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,2.04,2.04,6.12,10.20,4.08,8.16,0.00,0.00,8.16,6.12,2.04,0.00,0.00,0.00,0.00,4.08,0.00,2.04,0.00,2.04,0.00,34.69,2.04,0.00,0.00,0.00,0.00,4.08,0.00,4.08,0.00,0.00,24.49
The @US_FDA just added #meningitis to list of post market adverse events on the #chickenpox #vaccine. I wonder if the meningitis vaccines cover the chicken pox vaccine induced cases of meningitis? 🤷🏻‍♀️ It's hard to keep up. I'm sure there is a #vaccine for that! #vaccineinjury,46,94.72,41.41,16.76,25.77,9.20,26.09,65.22,45.65,10.87,6.52,4.35,2.17,0.00,0.00,0.00,4.35,10.87,15.22,6.52,4.35,2.17,0.00,10.87,2.17,0.00,0.00,0.00,2.17,4.35,2.17,2.17,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,8.70,4.35,2.17,2.17,4.35,2.17,2.17,2.17,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,6.52,2.17,0.00,2.17,2.17,0.00,2.17,10.87,0.00,6.52,0.00,4.35,0.00,2.17,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.26,4.35,0.00,0.00,0.00,2.17,2.17,0.00,0.00,4.35,0.00,15.22
"Today in Atlanta at @CDCgov they are adding to the childhood and ADULT #vaccine schedule. Step one- add to schedule, Step two- MANDATES, Step three- eliminate ALL exemptions. Roll your sleeves up! #untested #unsafe #readtheinsert #knowtherisks #vaccineinjury #aluminum #mercury https://t.co/jGHCIqpZZd",44,96.29,81.84,74.76,3.73,11.00,36.36,63.64,22.73,4.55,4.55,0.00,0.00,2.27,0.00,2.27,0.00,2.27,11.36,2.27,0.00,2.27,0.00,2.27,2.27,0.00,0.00,6.82,6.82,2.27,0.00,2.27,0.00,0.00,0.00,6.82,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,2.27,4.55,2.27,0.00,6.82,0.00,25.00,9.09,6.82,9.09,4.55,2.27,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,45.45,6.82,4.55,0.00,0.00,0.00,2.27,6.82,0.00,0.00,0.00,25.00
"#ZDoggMD and #DrRichardPan are truly evil #BigPharma shills pushing a #vaccine agenda that is making our children sick! #Autism #SIDS #ADHD #Allergies #Cancer #Eczema #Epilepsy #ReadTheBook #EndAutismNow @CDCgov #CDCwhistleblower #Mercury #Aluminum #hearthiswell https://t.co/e3szG5WrMB",37,69.11,79.13,1.00,2.30,18.50,40.54,45.95,18.92,5.41,2.70,0.00,2.70,0.00,0.00,0.00,2.70,2.70,0.00,5.41,2.70,2.70,0.00,10.81,5.41,0.00,0.00,0.00,0.00,8.11,2.70,5.41,0.00,0.00,0.00,5.41,0.00,0.00,0.00,0.00,5.41,0.00,2.70,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,8.11,0.00,8.11,0.00,0.00,5.41,2.70,0.00,2.70,0.00,0.00,0.00,5.41,0.00,2.70,2.70,0.00,0.00,0.00,5.41,0.00,0.00,0.00,0.00,2.70,0.00,2.70,0.00,0.00,0.00,59.46,2.70,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,54.05
"Cross reference the @CDCgov #vaccine schedule with the ingredient list from the Vit K &amp; #HepatitisB at birth, to the yearly #flushot  
 
440 ingredients🚫💉🚫

NEVER tested cumulatively! Untested and UNSAFE! #readtheinserts #knowtherisks #hearthiswell #vaccineinjury #readthebook https://t.co/46RzyG4qfM",41,99.00,40.36,14.43,3.09,13.67,34.15,46.34,24.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.76,9.76,0.00,2.44,2.44,2.44,2.44,2.44,0.00,0.00,2.44,0.00,2.44,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,2.44,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,2.44,2.44,0.00,0.00,12.20,0.00,2.44,9.76,4.88,2.44,0.00,0.00,0.00,0.00,4.88,0.00,4.88,2.44,0.00,0.00,41.46,2.44,2.44,0.00,2.44,0.00,4.88,0.00,0.00,0.00,0.00,29.27
"When someone tells you ""the science is settled"" tell them that only ONE #vaccine &amp; only ONE ingredient were studied for a relationship with #Autism and even that ONE study is questionable at best. Science is never settled! #endautismnow #readthebook #notbornwithit #vaccineinjury https://t.co/S3a519SOik",47,35.95,89.90,1.00,66.07,15.67,31.91,68.09,42.55,10.64,4.26,0.00,0.00,2.13,0.00,2.13,6.38,4.26,6.38,8.51,10.64,4.26,2.13,14.89,2.13,2.13,2.13,6.38,0.00,2.13,2.13,0.00,0.00,0.00,0.00,12.77,0.00,0.00,0.00,0.00,4.26,0.00,0.00,0.00,2.13,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,2.13,2.13,2.13,2.13,0.00,4.26,10.64,0.00,6.38,0.00,2.13,4.26,8.51,0.00,0.00,0.00,0.00,0.00,2.13,0.00,2.13,0.00,0.00,0.00,31.91,4.26,0.00,0.00,2.13,0.00,2.13,0.00,4.26,0.00,0.00,19.15
"@CDCgov #vaccine schedule has tripled since 1986 when a law was passed removing ALL liability for injuries. Manufacteres can NOT be sued. Why would they NOT keeping adding to the schedule?? 4 BILLION of your tax money has paid for #vaccineinjury #chickenpoxsurvivor #readthebook https://t.co/aFmZadc0u1",48,71.61,41.76,7.84,4.56,12.00,29.17,75.00,39.58,4.17,4.17,0.00,0.00,2.08,0.00,2.08,0.00,4.17,10.42,12.50,4.17,2.08,4.17,14.58,0.00,0.00,4.17,6.25,6.25,2.08,0.00,2.08,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,14.58,0.00,4.17,4.17,0.00,2.08,4.17,0.00,0.00,0.00,0.00,2.08,2.08,2.08,0.00,0.00,6.25,0.00,0.00,2.08,2.08,2.08,6.25,8.33,0.00,12.50,4.17,0.00,8.33,10.42,2.08,0.00,6.25,0.00,0.00,2.08,0.00,2.08,0.00,0.00,0.00,25.00,6.25,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,14.58
"I had #flu in early 2017 - honestly thought I was going to die! Very grateful for the #vaccine provided by @HSELive the 2 winters since then, both for myself &amp; so I also can’t pass it on!
#VaccinesWork #Science #healthcare https://t.co/qFUL4Jed5L",45,74.89,9.13,98.01,94.19,15.00,24.44,75.56,46.67,11.11,8.89,8.89,0.00,0.00,0.00,0.00,2.22,4.44,15.56,4.44,6.67,6.67,2.22,13.33,2.22,0.00,0.00,4.44,2.22,4.44,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,2.22,2.22,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,4.44,20.00,4.44,6.67,8.89,2.22,0.00,0.00,0.00,0.00,2.22,2.22,0.00,2.22,0.00,0.00,0.00,35.56,2.22,2.22,0.00,2.22,0.00,4.44,2.22,0.00,2.22,0.00,20.00
"Comunicado de la Asociación Afectados de Polio y Síndrome Post-Polio, con motivo del Día Mundial contra la Polio. 24 de octubre de 2018. 
https://t.co/LBaNIZ1j0z
#polio #postpolio #disease #vaccine #vaccination #immunization #poliofreeworld #WordPolioDay #salud #sanidad #vacunas https://t.co/e7ScULk66k",45,92.84,50.00,1.00,25.77,15.00,37.78,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,4.44,0.00,0.00,2.22,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,4.44,0.00,4.44,0.00,0.00,0.00,46.67,8.89,2.22,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,33.33
"Comunicado de la Asociación Afectados de Polio y Síndrome Post-Polio, con motivo del Día Mundial contra la Polio. 24 de octubre de 2018. 
https://t.co/Sv9AG0whOH
#polio #postpolio #salud #sanidad #vacunas #disease #vaccine #vaccination #immunization #poliofreeworld #WordPolioDay https://t.co/KWvvY9yKvj",45,92.84,50.00,1.00,25.77,15.00,37.78,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,4.44,0.00,0.00,2.22,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,4.44,0.00,4.44,0.00,0.00,0.00,46.67,8.89,2.22,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,33.33
"A super busy peer vaccination clinic in Roscommon University Hospital #RUH. Get a #Vaccine give a #Vaccine, for every one #fluvaccine we will donate 10 polio vaccines to Unicef’s end #Polio campaign. #yourbestshot #flufighters https://t.co/HxCR6V5UXD",39,98.53,77.92,1.40,73.64,13.00,33.33,53.85,20.51,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,7.69,7.69,2.56,0.00,0.00,0.00,10.26,5.13,0.00,0.00,5.13,2.56,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,5.13,0.00,5.13,0.00,0.00,12.82,5.13,2.56,2.56,2.56,0.00,0.00,7.69,2.56,7.69,0.00,2.56,5.13,5.13,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,35.90,7.69,2.56,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,23.08
"Many of you may have already heard about the updated HPV #vaccine recommendation for adults. Click the link for a quick primer on the rationale for this change. I will be talking more about this &amp; other #vaccines on next week's podcast. #health 
https://t.co/CTqKK21s9c",48,92.84,79.76,84.47,25.77,12.00,18.75,81.25,45.83,10.42,4.17,2.08,0.00,2.08,0.00,0.00,6.25,8.33,16.67,8.33,6.25,0.00,0.00,12.50,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,10.42,0.00,0.00,0.00,0.00,10.42,4.17,4.17,0.00,2.08,0.00,2.08,4.17,0.00,4.17,0.00,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,4.17,18.75,2.08,6.25,10.42,0.00,2.08,0.00,0.00,0.00,0.00,2.08,0.00,2.08,0.00,0.00,0.00,25.00,8.33,0.00,0.00,2.08,0.00,0.00,0.00,0.00,2.08,0.00,12.50
"Infectious diseases. Epidemiology. Primary Care. My #expert panel is ready to go! I’m looking forward to breaking down #vaccine myths vs. facts later TODAY with these clinicians from Metro Infectious Disease Consultants, @BenU1887 &amp; @KidsfirstpedsIL ! #VaccinesWork #health https://t.co/2UYnDT8SXU",43,92.84,50.00,21.56,95.29,7.17,34.88,62.79,20.93,6.98,4.65,4.65,0.00,0.00,0.00,0.00,2.33,0.00,11.63,4.65,0.00,0.00,0.00,11.63,2.33,2.33,0.00,0.00,0.00,4.65,4.65,0.00,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,2.33,0.00,2.33,2.33,0.00,0.00,13.95,0.00,13.95,0.00,0.00,4.65,0.00,0.00,4.65,0.00,0.00,0.00,11.63,0.00,11.63,4.65,4.65,6.98,2.33,0.00,0.00,0.00,0.00,0.00,2.33,0.00,2.33,0.00,0.00,0.00,44.19,11.63,2.33,0.00,2.33,0.00,4.65,0.00,0.00,2.33,0.00,20.93
An innovative #HIV #vaccine is now being tested for efficacy in humans. https://t.co/H9fNxi8tLC,17,92.84,72.17,6.20,25.77,8.50,23.53,58.82,35.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,11.76,11.76,5.88,0.00,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,11.76,0.00,11.76,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,35.29,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53
Medicago recently offered a free #FluShot to all its employees &amp; their families. Here are some moments that we captured at our Quebec City office! #GetVaccinated #medicago #vaccine https://t.co/1tueTvU5O7,35,74.16,97.69,5.55,78.19,11.67,34.29,65.71,28.57,14.29,8.57,0.00,5.71,0.00,0.00,2.86,5.71,2.86,5.71,2.86,2.86,0.00,0.00,2.86,5.71,2.86,0.00,2.86,5.71,2.86,2.86,0.00,0.00,0.00,0.00,14.29,2.86,0.00,0.00,0.00,5.71,0.00,0.00,0.00,2.86,2.86,0.00,0.00,0.00,0.00,0.00,5.71,0.00,5.71,0.00,0.00,11.43,8.57,0.00,2.86,0.00,0.00,0.00,2.86,0.00,11.43,0.00,5.71,5.71,5.71,2.86,2.86,2.86,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,31.43,5.71,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,0.00,20.00
Medicago recently offered a free #FluShot to all its employees &amp; their families. Here are some moments that we captured at our Quebec City office! #GetVaccinated #medicago #vaccine https://t.co/1tueTvU5O7,35,74.16,97.69,5.55,78.19,11.67,34.29,65.71,28.57,14.29,8.57,0.00,5.71,0.00,0.00,2.86,5.71,2.86,5.71,2.86,2.86,0.00,0.00,2.86,5.71,2.86,0.00,2.86,5.71,2.86,2.86,0.00,0.00,0.00,0.00,14.29,2.86,0.00,0.00,0.00,5.71,0.00,0.00,0.00,2.86,2.86,0.00,0.00,0.00,0.00,0.00,5.71,0.00,5.71,0.00,0.00,11.43,8.57,0.00,2.86,0.00,0.00,0.00,2.86,0.00,11.43,0.00,5.71,5.71,5.71,2.86,2.86,2.86,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,31.43,5.71,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,0.00,20.00
"The @IASSociety has announced the launch of the Global HIV Vaccine Enterprise 5-year strategy to combat issues and challenges inhibiting #HIV #vaccine development 

https://t.co/WtuEFfypZ2 https://t.co/uneSJimoPD",34,98.15,50.00,2.14,25.77,34.00,32.35,52.94,20.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,5.88,2.94,0.00,2.94,0.00,2.94,0.00,0.00,0.00,2.94,0.00,5.88,2.94,2.94,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,5.88,0.00,8.82,0.00,5.88,0.00,0.00,2.94,0.00,2.94,0.00,8.82,2.94,2.94,2.94,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,29.41,5.88,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,20.59
"How close are we to an #HIV #vaccine? According to a new strategic framework issued by @IASSociety, we have some key areas to address in research &amp; development. Read more: 

https://t.co/WtuEFfypZ2 https://t.co/3kivS1L7bc",42,94.88,82.96,2.82,25.77,14.00,21.43,59.52,28.57,4.76,4.76,0.00,4.76,0.00,0.00,0.00,0.00,4.76,11.90,4.76,2.38,2.38,0.00,7.14,4.76,2.38,2.38,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,2.38,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,2.38,2.38,0.00,7.14,4.76,2.38,0.00,0.00,0.00,0.00,4.76,0.00,9.52,0.00,7.14,2.38,7.14,0.00,2.38,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,35.71,7.14,2.38,2.38,2.38,2.38,0.00,0.00,0.00,0.00,0.00,19.05
"In a new strategy to create a safe and effective #HIV #vaccine, @IASSociety will focus on improving vaccine trials, refining regulatory, &amp; approval pathways &amp; promoting global funding &amp; collaboration. Learn more: 

https://t.co/WtuEFfypZ2 https://t.co/kHtrqF2cyQ",42,97.54,50.00,13.15,99.00,21.00,35.71,57.14,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,7.14,2.38,0.00,2.38,0.00,7.14,7.14,2.38,0.00,0.00,2.38,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,2.38,2.38,0.00,19.05,2.38,9.52,4.76,2.38,2.38,0.00,2.38,2.38,9.52,0.00,7.14,2.38,9.52,0.00,0.00,2.38,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,47.62,7.14,7.14,2.38,7.14,0.00,0.00,0.00,0.00,0.00,0.00,23.81
"#BREAKING: @US_FDA has approved #AFLURIA quadrivalent #influenza #vaccine for use in people six months of age &amp; older 
https://t.co/huCFThXS2U https://t.co/tIUREnKr7x",29,95.62,84.96,11.50,85.87,29.00,27.59,48.28,17.24,3.45,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,10.34,3.45,0.00,0.00,0.00,6.90,3.45,3.45,0.00,3.45,0.00,3.45,3.45,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,3.45,0.00,6.90,0.00,0.00,0.00,6.90,0.00,13.79,0.00,3.45,10.34,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,6.90,0.00,0.00,0.00,51.72,6.90,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,37.93
"Positive results from a first-in-humans phase 1 trial evaluating the safety &amp; immunogenicity of a #CMV #vaccine candidate support further development #IDWeek2018 
https://t.co/jPUIcFjBCd https://t.co/Pa6VUHYS5Q",34,99.00,61.58,6.20,99.00,34.00,35.29,52.94,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,8.82,0.00,0.00,0.00,0.00,2.94,5.88,2.94,0.00,5.88,0.00,8.82,8.82,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,8.82,2.94,2.94,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,8.82,0.00,2.94,0.00,2.94,2.94,0.00,2.94,0.00,8.82,0.00,5.88,2.94,2.94,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,38.24,5.88,0.00,0.00,2.94,0.00,0.00,5.88,0.00,0.00,0.00,23.53
Practice Nurse (PN): Can you authorise surgery to give all over 65y quadrivalent #flu #vaccine? Me: No. See #NHSE advise. PN: I've got lots of clinics booked up + no vaccine Me: No. See @NHSEngland advice. PN: But but... Me: Go ask the man from Del Monte #pharmacists https://t.co/FPJCgL4xRh,53,74.41,35.28,25.14,5.57,7.57,18.87,69.81,32.08,9.43,9.43,7.55,0.00,1.89,0.00,0.00,0.00,1.89,9.43,3.77,0.00,3.77,5.66,13.21,0.00,0.00,0.00,0.00,3.77,1.89,0.00,1.89,0.00,0.00,0.00,11.32,0.00,0.00,0.00,1.89,7.55,0.00,0.00,0.00,1.89,1.89,3.77,3.77,3.77,0.00,0.00,9.43,0.00,9.43,0.00,0.00,7.55,0.00,1.89,3.77,1.89,0.00,1.89,15.09,0.00,5.66,1.89,3.77,0.00,5.66,1.89,0.00,0.00,0.00,0.00,3.77,0.00,3.77,0.00,0.00,0.00,45.28,15.09,0.00,9.43,0.00,1.89,0.00,0.00,0.00,1.89,1.89,15.09
"Researchers @InovioPharma &amp; @TheWistar making progress w/ alt defense against #Ebola. Synthetic DNA #vaccine provided 100% protection against lethal Ebola challenge; shown safe for vulnerable populations, w/ protective response for &gt;1yr after last dose. 

https://t.co/luRUIc9FBy https://t.co/V3vIpmuALu",45,98.75,32.84,2.21,25.77,15.00,40.00,51.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.22,4.44,2.22,0.00,2.22,0.00,8.89,4.44,4.44,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,2.22,0.00,2.22,0.00,0.00,15.56,0.00,4.44,2.22,0.00,8.89,2.22,0.00,0.00,4.44,0.00,0.00,4.44,4.44,0.00,0.00,0.00,0.00,2.22,8.89,0.00,8.89,0.00,0.00,0.00,42.22,8.89,2.22,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,24.44
